Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
MicpuC2.estExt_Genewise1Plus.C_10262	MicpuC2.estExt_Genewise1Plus.C_10262	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02958" target="_blank">K02958</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0898" target="_blank">KOG0898</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11880" target="_blank">PTHR11880</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11880:SF10" target="_blank">PTHR11880:SF10</a>	<a href="http://pfam.xfam.org/family/PF00203" target="_blank">PF00203</a>
MicpuC2.estExt_Genewise1Plus.C_10276	MicpuC2.estExt_Genewise1Plus.C_10276	<a href="http://amigo.geneontology.org/amigo/term/GO:0007264" target="_blank">GO:0007264</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07937" target="_blank">K07937</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0070" target="_blank">KOG0070</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11711" target="_blank">PTHR11711</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11711:SF181" target="_blank">PTHR11711:SF181</a>	<a href="http://pfam.xfam.org/family/PF08477" target="_blank">PF08477</a>
MicpuC2.estExt_Genewise1Plus.C_10282	MicpuC2.estExt_Genewise1Plus.C_10282	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10143" target="_blank">K10143</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG4714" target="_blank">KOG4714</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22847" target="_blank">PTHR22847</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22847:SF422" target="_blank">PTHR22847:SF422</a>	<a href="http://pfam.xfam.org/family/PF13920" target="_blank">PF13920</a> <a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
MicpuC2.estExt_Genewise1Plus.C_10302	MicpuC2.estExt_Genewise1Plus.C_10302	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.3.5.5" target="_blank">1.3.5.5</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10742" target="_blank">PTHR10742</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10742:SF285" target="_blank">PTHR10742:SF285</a>	<a href="http://pfam.xfam.org/family/PF01593" target="_blank">PF01593</a>
MicpuC2.estExt_Genewise1Plus.C_10325	MicpuC2.estExt_Genewise1Plus.C_10325	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">GO:0055085</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005741" target="_blank">GO:0005741</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11518" target="_blank">K11518</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG3296" target="_blank">KOG3296</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10802" target="_blank">PTHR10802</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10802:SF4" target="_blank">PTHR10802:SF4</a>	<a href="http://pfam.xfam.org/family/PF01459" target="_blank">PF01459</a>
MicpuC2.estExt_Genewise1Plus.C_10349	MicpuC2.estExt_Genewise1Plus.C_10349	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">GO:0006629</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13076" target="_blank">K13076</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG4232" target="_blank">KOG4232</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.14.19.4" target="_blank">1.14.19.4</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR19353" target="_blank">PTHR19353</a>	<a href="http://pfam.xfam.org/family/PF00173" target="_blank">PF00173</a> <a href="http://pfam.xfam.org/family/PF00487" target="_blank">PF00487</a>
MicpuC2.estExt_Genewise1Plus.C_10554	MicpuC2.estExt_Genewise1Plus.C_10554	<a href="http://amigo.geneontology.org/amigo/term/GO:0015934" target="_blank">GO:0015934</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02898" target="_blank">K02898</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG3401" target="_blank">KOG3401</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11143" target="_blank">PTHR11143</a>	<a href="http://pfam.xfam.org/family/PF00467" target="_blank">PF00467</a> <a href="http://pfam.xfam.org/family/PF16906" target="_blank">PF16906</a>
MicpuC2.estExt_Genewise1Plus.C_10699	MicpuC2.estExt_Genewise1Plus.C_10699	<a href="http://amigo.geneontology.org/amigo/term/GO:0017119" target="_blank">GO:0017119</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">GO:0006886</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG4182" target="_blank">KOG4182</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21443" target="_blank">PTHR21443</a>	<a href="http://pfam.xfam.org/family/PF10191" target="_blank">PF10191</a>
MicpuC2.estExt_Genewise1Plus.C_10710	MicpuC2.estExt_Genewise1Plus.C_10710	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03456" target="_blank">K03456</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10648" target="_blank">PTHR10648</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10648:SF11" target="_blank">PTHR10648:SF11</a>	<a href="http://pfam.xfam.org/family/PF02985" target="_blank">PF02985</a> <a href="http://pfam.xfam.org/family/PF13646" target="_blank">PF13646</a>
MicpuC2.estExt_Genewise1Plus.C_10793	MicpuC2.estExt_Genewise1Plus.C_10793	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12657" target="_blank">K12657</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.41" target="_blank">1.2.1.41</a> <a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.2.11" target="_blank">2.7.2.11</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11063" target="_blank">PTHR11063</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11063:SF8" target="_blank">PTHR11063:SF8</a>	<a href="http://pfam.xfam.org/family/PF00171" target="_blank">PF00171</a>
MicpuC2.estExt_Genewise1Plus.C_10982	MicpuC2.estExt_Genewise1Plus.C_10982	<a href="http://amigo.geneontology.org/amigo/term/GO:0006352" target="_blank">GO:0006352</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">GO:0005634</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051090" target="_blank">GO:0051090</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03131" target="_blank">K03131</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG2549" target="_blank">KOG2549</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10221" target="_blank">PTHR10221</a>	<a href="http://pfam.xfam.org/family/PF02969" target="_blank">PF02969</a> <a href="http://pfam.xfam.org/family/PF07571" target="_blank">PF07571</a>
MicpuC2.estExt_Genewise1Plus.C_10996	MicpuC2.estExt_Genewise1Plus.C_10996	<a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">GO:0016773</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08873" target="_blank">K08873</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.11.1" target="_blank">2.7.11.1</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11139" target="_blank">PTHR11139</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11139:SF71" target="_blank">PTHR11139:SF71</a>	<a href="http://pfam.xfam.org/family/PF00454" target="_blank">PF00454</a>
MicpuC2.estExt_Genewise1Plus.C_11136	MicpuC2.estExt_Genewise1Plus.C_11136	<a href="http://amigo.geneontology.org/amigo/term/GO:0008324" target="_blank">GO:0008324</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006813" target="_blank">GO:0006813</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10283" target="_blank">PTHR10283</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10283:SF79" target="_blank">PTHR10283:SF79</a>	<a href="http://pfam.xfam.org/family/PF06808" target="_blank">PF06808</a> <a href="http://pfam.xfam.org/family/PF02080" target="_blank">PF02080</a>
MicpuC2.estExt_Genewise1Plus.C_11289	MicpuC2.estExt_Genewise1Plus.C_11289	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.5.2" target="_blank">3.6.5.2</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10903" target="_blank">PTHR10903</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10903:SF47" target="_blank">PTHR10903:SF47</a>	<a href="http://pfam.xfam.org/family/PF04548" target="_blank">PF04548</a>
MicpuC2.estExt_Genewise1Plus.C_20126	MicpuC2.estExt_Genewise1Plus.C_20126	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">GO:0004553</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.20" target="_blank">3.2.1.20</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22762" target="_blank">PTHR22762</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22762:SF85" target="_blank">PTHR22762:SF85</a>	<a href="http://pfam.xfam.org/family/PF01055" target="_blank">PF01055</a>
MicpuC2.estExt_Genewise1Plus.C_20219	MicpuC2.estExt_Genewise1Plus.C_20219	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003995" target="_blank">GO:0003995</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006635" target="_blank">GO:0006635</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005777" target="_blank">GO:0005777</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003997" target="_blank">GO:0003997</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00232" target="_blank">K00232</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.3.3.6" target="_blank">1.3.3.6</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10909" target="_blank">PTHR10909</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10909:SF250" target="_blank">PTHR10909:SF250</a>	<a href="http://pfam.xfam.org/family/PF02770" target="_blank">PF02770</a> <a href="http://pfam.xfam.org/family/PF14749" target="_blank">PF14749</a> <a href="http://pfam.xfam.org/family/PF01756" target="_blank">PF01756</a>
MicpuC2.estExt_Genewise1Plus.C_20250	MicpuC2.estExt_Genewise1Plus.C_20250	<a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">GO:0016772</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">GO:0016310</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016301" target="_blank">GO:0016301</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050242" target="_blank">GO:0050242</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006090" target="_blank">GO:0006090</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01006" target="_blank">K01006</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.9.1" target="_blank">2.7.9.1</a> <a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.11.32" target="_blank">2.7.11.32</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22931" target="_blank">PTHR22931</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22931:SF9" target="_blank">PTHR22931:SF9</a>	<a href="http://pfam.xfam.org/family/PF00391" target="_blank">PF00391</a> <a href="http://pfam.xfam.org/family/PF01326" target="_blank">PF01326</a> <a href="http://pfam.xfam.org/family/PF02896" target="_blank">PF02896</a>
MicpuC2.estExt_Genewise1Plus.C_20258	MicpuC2.estExt_Genewise1Plus.C_20258	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">GO:0004553</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19355" target="_blank">K19355</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.78" target="_blank">3.2.1.78</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR31451" target="_blank">PTHR31451</a>	<a href="http://pfam.xfam.org/family/PF00150" target="_blank">PF00150</a>
MicpuC2.estExt_Genewise1Plus.C_20274	MicpuC2.estExt_Genewise1Plus.C_20274	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">GO:0005634</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06627" target="_blank">K06627</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0654" target="_blank">KOG0654</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10177" target="_blank">PTHR10177</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10177:SF212" target="_blank">PTHR10177:SF212</a>	<a href="http://pfam.xfam.org/family/PF02984" target="_blank">PF02984</a> <a href="http://pfam.xfam.org/family/PF00134" target="_blank">PF00134</a>
MicpuC2.estExt_Genewise1Plus.C_20328	MicpuC2.estExt_Genewise1Plus.C_20328	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006099" target="_blank">GO:0006099</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003994" target="_blank">GO:0003994</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11670" target="_blank">PTHR11670</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11670:SF39" target="_blank">PTHR11670:SF39</a>	<a href="http://pfam.xfam.org/family/PF00330" target="_blank">PF00330</a> <a href="http://pfam.xfam.org/family/PF11791" target="_blank">PF11791</a> <a href="http://pfam.xfam.org/family/PF06434" target="_blank">PF06434</a>
MicpuC2.estExt_Genewise1Plus.C_20439	MicpuC2.estExt_Genewise1Plus.C_20439	<a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">GO:0006413</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">GO:0005737</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">GO:0003743</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03259" target="_blank">K03259</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1670" target="_blank">KOG1670</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11960" target="_blank">PTHR11960</a>	<a href="http://pfam.xfam.org/family/PF01652" target="_blank">PF01652</a>
MicpuC2.estExt_Genewise1Plus.C_20473	MicpuC2.estExt_Genewise1Plus.C_20473	<a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">GO:0016779</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">GO:0009058</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00975" target="_blank">K00975</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1322" target="_blank">KOG1322</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.27" target="_blank">2.7.7.27</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22572" target="_blank">PTHR22572</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR22572:SF119" target="_blank">PTHR22572:SF119</a>	<a href="http://pfam.xfam.org/family/PF00483" target="_blank">PF00483</a>
MicpuC2.estExt_Genewise1Plus.C_20488	MicpuC2.estExt_Genewise1Plus.C_20488	<a href="http://amigo.geneontology.org/amigo/term/GO:0045905" target="_blank">GO:0045905</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045901" target="_blank">GO:0045901</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043022" target="_blank">GO:0043022</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006452" target="_blank">GO:0006452</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003746" target="_blank">GO:0003746</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03263" target="_blank">K03263</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG3271" target="_blank">KOG3271</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11673" target="_blank">PTHR11673</a>	<a href="http://pfam.xfam.org/family/PF01287" target="_blank">PF01287</a>
MicpuC2.gw1.11.144.1	MicpuC2.gw1.11.144.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">GO:0009058</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004161" target="_blank">GO:0004161</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00791" target="_blank">K00791</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.75" target="_blank">2.5.1.75</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11088" target="_blank">PTHR11088</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11088:SF31" target="_blank">PTHR11088:SF31</a>	<a href="http://pfam.xfam.org/family/PF01745" target="_blank">PF01745</a>
MicpuC2.estExt_Genewise1Plus.C_20588	MicpuC2.estExt_Genewise1Plus.C_20588	<a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0032549" target="_blank">GO:0032549</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03010" target="_blank">K03010</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.6" target="_blank">2.7.7.6</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR20856" target="_blank">PTHR20856</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR20856:SF7" target="_blank">PTHR20856:SF7</a>	<a href="http://pfam.xfam.org/family/PF04567" target="_blank">PF04567</a> <a href="http://pfam.xfam.org/family/PF04566" target="_blank">PF04566</a> <a href="http://pfam.xfam.org/family/PF04565" target="_blank">PF04565</a> <a href="http://pfam.xfam.org/family/PF04560" target="_blank">PF04560</a> <a href="http://pfam.xfam.org/family/PF04561" target="_blank">PF04561</a> <a href="http://pfam.xfam.org/family/PF04563" target="_blank">PF04563</a> <a href="http://pfam.xfam.org/family/PF00562" target="_blank">PF00562</a>
MicpuC2.estExt_Genewise1Plus.C_20680	MicpuC2.estExt_Genewise1Plus.C_20680	<a href="http://amigo.geneontology.org/amigo/term/GO:0006633" target="_blank">GO:0006633</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003989" target="_blank">GO:0003989</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11262" target="_blank">K11262</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.4.1.2" target="_blank">6.4.1.2</a> <a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.4.14" target="_blank">6.3.4.14</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR18866" target="_blank">PTHR18866</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR18866:SF6" target="_blank">PTHR18866:SF6</a>	<a href="http://pfam.xfam.org/family/PF00364" target="_blank">PF00364</a> <a href="http://pfam.xfam.org/family/PF13535" target="_blank">PF13535</a> <a href="http://pfam.xfam.org/family/PF02785" target="_blank">PF02785</a> <a href="http://pfam.xfam.org/family/PF00289" target="_blank">PF00289</a> <a href="http://pfam.xfam.org/family/PF08326" target="_blank">PF08326</a> <a href="http://pfam.xfam.org/family/PF01039" target="_blank">PF01039</a>
MicpuC2.estExt_Genewise1Plus.C_20725	MicpuC2.estExt_Genewise1Plus.C_20725	<a href="http://amigo.geneontology.org/amigo/term/GO:0006265" target="_blank">GO:0006265</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003918" target="_blank">GO:0003918</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02470" target="_blank">K02470</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.99.1.3" target="_blank">5.99.1.3</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10169" target="_blank">PTHR10169</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10169:SF35" target="_blank">PTHR10169:SF35</a>	<a href="http://pfam.xfam.org/family/PF01751" target="_blank">PF01751</a> <a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF00986" target="_blank">PF00986</a> <a href="http://pfam.xfam.org/family/PF00204" target="_blank">PF00204</a>
MicpuC2.estExt_Genewise1Plus.C_20726	MicpuC2.estExt_Genewise1Plus.C_20726	<a href="http://amigo.geneontology.org/amigo/term/GO:0051205" target="_blank">GO:0051205</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03217" target="_blank">K03217</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12428" target="_blank">PTHR12428</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12428:SF19" target="_blank">PTHR12428:SF19</a>	<a href="http://pfam.xfam.org/family/PF02096" target="_blank">PF02096</a>
