Gene ID	GO	KO	KOG	PANTHER	PFAM
Cz12g14130	GO:0030915 GO:0006281 GO:0005634		KOG2866	PTHR16140	PF08743
Cz12g14160	GO:0003676 GO:0008270	K13098		PTHR12999	PF00076 PF00641
Cz12g14170	GO:0019898 GO:0015979 GO:0009654 GO:0009523 GO:0005509			PTHR31407 PTHR31407:SF7	PF01789
Cz12g14180	GO:0016020 GO:0016887 GO:0005524		KOG0061	PTHR19241	PF01061 PF00005
Cz12g14220	GO:0006468 GO:0004672		KOG0192	PTHR23257	PF07714
Cz12g14230	GO:0006457 GO:0003755 GO:0000413		KOG0880	PTHR11071	PF04969 PF00160
Cz12g15060	GO:0006468 GO:0005524 GO:0004672		KOG0594	PTHR11584 PTHR11584:SF316	PF01846 PF00069
Cz12g15070	GO:0055114 GO:0016491			PTHR13847 PTHR13847:SF204	PF01266
Cz12g15080	GO:0055114 GO:0016491			PTHR13847 PTHR13847:SF204	PF01266
Cz12g15120	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02951	KOG3406	PTHR11843	PF01248
Cz12g15140	GO:0030976 GO:0000287 GO:0003824 GO:0008152	K12261		PTHR18968 PTHR18968:SF6	PF13193 PF00205 PF02775 PF02776 PF00501
Cz12g15150	GO:0008152 GO:0003824			PTHR24095 PTHR24095:SF171	PF00501
Cz12g15160	GO:0005515	K02180	KOG1036	PTHR10971	PF00400
Cz12g15180	GO:0016021 GO:0006810 GO:0005524 GO:0005471			PTHR31187 PTHR31187:SF1	PF03219
Cz12g15200	GO:0003676 GO:0003723 GO:0006396 GO:0000175 GO:0006402 GO:0004654	K00962		PTHR11252 PTHR11252:SF0	PF00575 PF00013 PF03726 PF03725 PF01138
Cz12g15230	GO:0055114 GO:0006788 GO:0004392	K00510	KOG4480	PTHR35703 PTHR35703:SF2	PF01126
Cz12g16010	GO:0006468 GO:0005524 GO:0004672				PF00069
Cz12g16040	GO:0005515	K14552	KOG1963	PTHR22847 PTHR22847:SF467	PF00400
Cz12g16070	GO:0016020 GO:0009765			PTHR21649	PF00504
Cz12g16080	GO:0055114 GO:0016491 GO:0006633 GO:0005506	K15746		PTHR31899 PTHR31899:SF1	PF04116
Cz12g16120	GO:0015074			PTHR24559 PTHR24559:SF201	PF00665 PF08284 PF00078
Cz12g16140	GO:0008176 GO:0006400	K03439	KOG3115	PTHR23417 PTHR23417:SF18	PF02390
Cz12g16160	GO:0055114 GO:0016616 GO:0006102 GO:0004450	K00031		PTHR11822	PF00180
Cz12g16170	GO:0055114 GO:0016616 GO:0006102 GO:0004450			PTHR11822	PF00180
Cz12g16180	GO:0033179 GO:0015991 GO:0015078	K02154		PTHR11629	PF01496
Cz12g16210	GO:0006468 GO:0005524 GO:0004672				PF00069
Cz12g16230	GO:0003924	K06883		PTHR21231 PTHR21231:SF7	PF03029
Cz12g16240	GO:0003924			PTHR21231 PTHR21231:SF7	PF03029
Cz12g16250	GO:0016887 GO:0005524	K03063		PTHR23073 PTHR23073:SF8	PF07728
Cz12g16260	GO:0016226			PTHR30508 PTHR30508:SF1	PF01458
Cz12g16270	GO:0022900 GO:0016651	K03937		PTHR12219	PF04800
Cz12g16280	GO:0016758 GO:0008152			PTHR11926 PTHR11926:SF117	
Cz12g16290	GO:0030259 GO:0016758 GO:0005975 GO:0008152			PTHR11926 PTHR11926:SF308	PF03033
Cz12g16300	GO:0005515			PTHR10774	PF00168
Cz12g16330	GO:0016020 GO:0005509 GO:0004571	K01230		PTHR11742	PF01532
Cz12g17010	GO:0016020 GO:0005509 GO:0004571				PF01532
Cz12g17020	GO:0016020 GO:0005509 GO:0004571	K01230		PTHR11742	PF01532
Cz12g17040	GO:0006457		KOG0544		PF00254
Cz12g17050	GO:0005515			PTHR22904 PTHR22904:SF364	PF13371 PF00515
Cz12g17070	GO:0006508 GO:0004252				PF01483
Cz12g17130	GO:0005975 GO:0004553			PTHR31451	PF00150
Cz12g18030	GO:0006355 GO:0005739 GO:0003690				PF02536
Cz12g18080	GO:0006396 GO:0004526	K01164		PTHR22731 PTHR22731:SF3	PF08170
Cz12g18090	GO:0006396 GO:0005622	K12869		PTHR11246 PTHR11246:SF14	PF02184
Cz12g18130	GO:0008080		KOG3139	PTHR10545 PTHR10545:SF38	PF00583
Cz12g18140	GO:0055114 GO:0051537 GO:0016491			PTHR13847 PTHR13847:SF202	PF13450 PF00355
Cz12g18150	GO:0006629			PTHR21493 PTHR21493:SF153	PF01764
Cz12g19010	GO:0005515				PF00439
Cz12g19020	GO:0005525	K07904	KOG0087	PTHR24073 PTHR24073:SF87	PF00025
Cz12g19050	GO:0005975 GO:0004553	K01190		PTHR10066 PTHR10066:SF72	PF00703 PF02837 PF02836
Cz12g19060	GO:0005975 GO:0004553 GO:0009341 GO:0004565			PTHR10066 PTHR10066:SF72	PF16353 PF02836 PF02929
Cz12g19110	GO:0006464	K03801		PTHR10993 PTHR10993:SF11	PF03099
Cz12g19120	GO:0007264 GO:0005525		KOG4273	PTHR14659 PTHR14659:SF1	PF00071 PF10199
Cz12g19200	GO:0005515 GO:0003824 GO:0006470 GO:0004722 GO:0004721		KOG0698	PTHR13832 PTHR13832:SF224	PF00498 PF00481
Cz12g19220	GO:0055085 GO:0022857 GO:0016021		KOG2532	PTHR11662 PTHR11662:SF226	PF00083
Cz12g19230	GO:0005524 GO:0003676		KOG0331	PTHR24031	PF00271 PF00270
Cz12g19240	GO:0030170 GO:0009058	K00654		PTHR13693 PTHR13693:SF3	PF00155
Cz12g20040	GO:0016192 GO:0006904	K12479	KOG1299	PTHR11679 PTHR11679:SF3	PF00995
Cz12g20060	GO:0006355 GO:0005739 GO:0003690				PF02536
Cz12g20090	GO:0016021			PTHR11266 PTHR11266:SF42	PF04117
Cz12g20100	GO:0006355 GO:0003700 GO:0007275	K09285		PTHR32467	PF00847
Cz12g20110	GO:0016888	K03424		PTHR10060 PTHR10060:SF24	PF01026
Cz12g20170	GO:0006412 GO:0005840 GO:0005622 GO:0003735 GO:0003723	K02952	KOG3311	PTHR10871	PF00416
Cz12g20180	GO:0006468 GO:0005524 GO:0004672		KOG0984	PTHR23257	PF00069
Cz12g20200	GO:0033014 GO:0004852			PTHR38020	PF02602
Cz12g20220	GO:0055114 GO:0016491 GO:0008152	K00140	KOG2450	PTHR11699 PTHR11699:SF183	PF00171
Cz12g20290	GO:0005975	K00616		PTHR10683 PTHR10683:SF2	PF00923
Cz12g21010	GO:0006415 GO:0003747 GO:0016149 GO:0005737	K02835	KOG2726	PTHR11075	PF00472 PF03462
Cz12g21030	GO:0005515				PF00498
Cz12g21050	GO:0043140 GO:0006281 GO:0006260 GO:0005524 GO:0003676	K10901	KOG0353	PTHR13710 PTHR13710:SF94	PF16124 PF09382 PF00270 PF00271
Cz12g21080	GO:0042176 GO:0030234 GO:0000502	K03028		PTHR10943 PTHR10943:SF1	PF01851
Cz12g21110	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10395	KOG4280	PTHR24115 PTHR24115:SF136	PF00225
Cz12g21120	GO:0008270			PTHR10782	PF14324 PF02891
Cz12g21150	GO:0009058 GO:0003824			PTHR10739 PTHR10739:SF28	PF01467
Cz12g21160	GO:0006412 GO:0005840 GO:0003735	K01000 K02955	KOG0407	PTHR11759 PTHR11759:SF11	PF00411
Cz12g21180	GO:0019773 GO:0006511 GO:0004175 GO:0051603 GO:0005839 GO:0004298	K02728	KOG0178	PTHR11599 PTHR11599:SF13	PF10584 PF00227
Cz12g21200	GO:0009231 GO:0008531	K00861	KOG3110	PTHR22749 PTHR22749:SF1	PF13419 PF01687
Cz12g21220	GO:0016020 GO:0015696 GO:0008519 GO:0072488		KOG0682	PTHR11730 PTHR11730:SF17	PF00909
Cz12g21250	GO:0005515 GO:0006364	K14824		PTHR17605	PF00400 PF08145
Cz12g22020	GO:0016573 GO:0006357	K11314		PTHR12374 PTHR12374:SF20	PF00249
Cz12g22030	GO:0016573 GO:0006357			PTHR12374 PTHR12374:SF20	
Cz12g22050	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG1407 KOG1036 KOG0318 KOG0296	PTHR22847	PF00520
Cz12g22060	GO:0055114 GO:0016491 GO:0008270		KOG1197	PTHR11695	PF13602
Cz12g22080	GO:0016787	K03574		PTHR16099 PTHR16099:SF5	PF00293
Cz12g22100	GO:0004866			PTHR13062 PTHR13062:SF9	PF00207
Cz12g22120	GO:0004674 GO:0005515 GO:0016773	K06640		PTHR11139 PTHR11139:SF69	PF08064 PF02260 PF02259 PF00454
Cz12g22170	GO:0055114 GO:0050660 GO:0017150 GO:0008033			PTHR11082 PTHR11082:SF8	
Cz12g22180	GO:0055114 GO:0050660 GO:0017150 GO:0008033	K05544		PTHR11082 PTHR11082:SF8	PF01207
Cz12g22200	GO:0055085 GO:0016021		KOG2533	PTHR11662 PTHR11662:SF3	PF07690
Cz12g23050	GO:0006359				PF11705
Cz12g23060	GO:0005515		KOG0867	PTHR11260	PF14497 PF02798
Cz12g23070	GO:0032259 GO:0008168			PTHR13600 PTHR13600:SF12	PF04072
Cz12g23090	GO:0008565 GO:0006606 GO:0005737 GO:0005634 GO:0005515			PTHR23316	PF16186 PF01749 PF00514
Cz12g23100	GO:0008080				PF00583
Cz12g23120	GO:0016020		KOG2417	PTHR15948	PF12537 PF12430
Cz12g23150	GO:0016758 GO:0008152			PTHR11926	PF00201
Cz12g23170	GO:0016758 GO:0008152		KOG1192	PTHR11926	PF04101
Cz12g23180	GO:0045454	K09584	KOG0191	PTHR18929 PTHR18929:SF38	PF00085
Cz12g23190	GO:0005515			PTHR22881 PTHR22881:SF11	PF00439
Cz12g23200	GO:0005524 GO:0003676	K13181		PTHR24031 PTHR24031:SF277	PF00271 PF00270
Cz12g23210	GO:0007264 GO:0005525	K07933	KOG0073 KOG0097	PTHR24073 PTHR24073:SF128	PF00071
Cz12g23220	GO:0019894 GO:0005871		KOG1222	PTHR15605	PF05804
Cz12g23250	GO:0016021 GO:0004190	K09595	KOG2443	PTHR12174 PTHR12174:SF23	PF04258
Cz12g23260	GO:0005515		KOG4579	PTHR23155	PF13855
Cz12g24030	GO:0008168 GO:0008152		KOG1271	PTHR12176 PTHR12176:SF28	PF08241
Cz12g24070	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02925		PTHR11363	PF00297
Cz12g24130	GO:0005515 GO:0006468 GO:0004672		KOG0192	PTHR23257	PF00564 PF07714
Cz12g24140	GO:0042274			PTHR34544 PTHR34544:SF1	PF02576
Cz12g24150	GO:0008440	K00915		PTHR12400	PF03770
Cz12g24180	GO:0055114 GO:0051287 GO:0046168 GO:0016616 GO:0005975 GO:0004367 GO:0009331 GO:0006072	K00006	KOG2711	PTHR11728 PTHR11728:SF8	PF12710 PF01210 PF07479
Cz12g24190	GO:0005515				PF00651
Cz12g24200	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10398	KOG4280	PTHR24115 PTHR24115:SF105	PF00225
Cz12g24240	GO:0005975 GO:0004553	K01188	KOG0626	PTHR10353	PF00232
Cz12g25030	GO:0006468 GO:0004672 GO:0005524		KOG0192	PTHR23257	PF07714 PF00069
Cz12g25040	GO:0005524 GO:0003676	K12614		PTHR24031 PTHR24031:SF254	PF00271 PF00270
Cz12g25070	GO:0046983 GO:0006351 GO:0003899	K03011	KOG1522	PTHR11800 PTHR11800:SF2	PF01193 PF01000
Cz12g25090	GO:0005524 GO:0046961 GO:0046933 GO:0045261 GO:0015986			PTHR15184 PTHR15184:SF3	PF00006
Cz12g25120	GO:0005515		KOG0472	PTHR23155	PF13855
Cz12g25160	GO:0016192 GO:0016021		KOG0859	PTHR21136 PTHR21136:SF73	PF13774 PF00957
Cz12g25180	GO:0016192 GO:0016021			PTHR21136	PF00957
Cz12g25190	GO:0016192 GO:0016021	K08511	KOG0859	PTHR21136 PTHR21136:SF4	PF13774 PF00957
Cz12g25200	GO:0005515	K12816		PTHR22847 PTHR22847:SF474	PF00400
Cz12g25210	GO:0006468 GO:0005524 GO:0004672	K08857	KOG0198	PTHR24362 PTHR24362:SF218	PF01302 PF00069
Cz12g25220	GO:0016021 GO:0004659	K02548		PTHR13929 PTHR13929:SF3	PF01040
Cz12g26020	GO:0055085 GO:0016021 GO:0016020 GO:0006810 GO:0005215	K14638	KOG1237	PTHR11654	PF07690
Cz12g26030	GO:0016020 GO:0006810 GO:0005215			PTHR11654 PTHR11654:SF76	
Cz12g26090	GO:0045735			PTHR31238 PTHR31238:SF46	PF00190
Cz12g26130	GO:0005525	K03978	KOG2486	PTHR11649 PTHR11649:SF49	PF01926
Cz12g26140	GO:0005515	K14963	KOG0316	PTHR22847	PF00400
Cz12g26150	GO:0006614 GO:0005525	K03110		PTHR11564 PTHR11564:SF15	PF09848 PF02881
Cz12g26170	GO:0016559 GO:0005779		KOG4186	PTHR12652 PTHR12652:SF10	PF05648
Cz12g26220	GO:0016192 GO:0016021	K08516	KOG0861	PTHR21136 PTHR21136:SF106	PF13774 PF00957
Cz12g26260	GO:0016021 GO:0004190	K04505	KOG2736	PTHR10202 PTHR10202:SF13	PF01080
Cz12g27010	GO:0055114 GO:0016491 GO:0008270			PTHR11695 PTHR11695:SF261	
Cz12g27020	GO:0055114 GO:0016491 GO:0008270			PTHR11695 PTHR11695:SF261	PF08240 PF00107
Cz12g27040	GO:0005524	K09494		PTHR11353 PTHR11353:SF23	PF00118
Cz12g27070	GO:2001070				PF03423
Cz12g27080	GO:0003676	K13188		PTHR13798 PTHR13798:SF2	PF00076
Cz12g27090	GO:0016773 GO:0005975	K00864	KOG2517	PTHR10196 PTHR10196:SF69	PF00370 PF02782
Cz12g27110	GO:0019538				PF02861
Cz12g27120	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	PTHR24286 PTHR24286:SF77	PF00067
Cz12g27140	GO:0008152 GO:0003824			PTHR24096	PF00501
Cz12g27160	GO:0006508 GO:0004252			PTHR10795 PTHR10795:SF389	PF00082
Cz12g27170	GO:0006468 GO:0004672	K04417	KOG0192	PTHR23257	PF07714
Cz12g27180	GO:0055114 GO:0020037 GO:0016705 GO:0005506	K17730 K07426 K00490 K17728 K17726	KOG0157	PTHR24291	PF00067
Cz12g27190	GO:0005515				PF00651 PF07707
Cz12g27210	GO:0006457				PF00254
Cz12g27260	GO:0016021 GO:0006810 GO:0005337				PF01733
Cz12g28040	GO:0045859 GO:0031588 GO:0007165			PTHR10343 PTHR10343:SF45	PF16561
Cz12g28100	GO:0004386	K12813		PTHR18934 PTHR18934:SF83	PF00271 PF04408 PF07717
Cz12g28110	GO:0006412 GO:0005840 GO:0003735 GO:0003723	K02988	KOG0877	PTHR13718 PTHR13718:SF67	PF00333 PF03719
Cz12g28120	GO:0008080			PTHR21471 PTHR21471:SF63	PF13508
Cz12g28130	GO:0006807 GO:0004356 GO:0006542	K01915	KOG0683	PTHR20852 PTHR20852:SF59	PF00120 PF03951
Cz12g28150	GO:0016491 GO:0008198 GO:0006725			PTHR30096 PTHR30096:SF0	PF02900
Cz12g28160	GO:0008080			PTHR23091	PF00583
Cz12g28170	GO:0005515	K12795	KOG1309	PTHR22904 PTHR22904:SF344	PF00515 PF04969 PF13414 PF05002
Cz12g28180	GO:0003824	K01581	KOG0622	PTHR11482 PTHR11482:SF6	PF00278 PF02784
Cz13g00040	GO:0005515	K11804		PTHR15574	PF00400
Cz13g00050	GO:0005515			PTHR15574 PTHR15574:SF21	PF00400
Cz13g00090	GO:0006281 GO:0004518			PTHR22748 PTHR22748:SF4	PF03372
Cz13g00120	GO:0003676	K11294	KOG0131 KOG0114 KOG0106	PTHR24012	PF14259 PF00076
Cz13g00140	GO:0008152	K01681		PTHR11670 PTHR11670:SF30	PF00694 PF00330
Cz13g00160	GO:0005515 GO:0003676		KOG1041	PTHR22891 PTHR22891:SF0	PF16488 PF08699 PF02170 PF02171
Cz13g00180	GO:0043565 GO:0006355 GO:0003700				PF00170
Cz13g00210	GO:0006468 GO:0004672		KOG0192	PTHR23257	PF07714
Cz13g01030	GO:0046983 GO:0006351 GO:0003899		KOG1522	PTHR11800 PTHR11800:SF2	PF01000 PF13656 PF01193
Cz13g01070	GO:0004527 GO:0003676			PTHR12341 PTHR12341:SF7	PF03159
Cz13g01120	GO:0016020			PTHR13018 PTHR13018:SF5	PF02714
Cz13g01130	GO:0016020			PTHR13018	PF02714 PF13967
Cz13g01140	GO:0006629	K00507	KOG1600	PTHR11351 PTHR11351:SF2	PF00487
Cz13g01190	GO:0055114 GO:0006561 GO:0004735	K00286	KOG3124	PTHR11645 PTHR11645:SF28	PF03807 PF14748
Cz13g01210	GO:0005515				PF12937
Cz13g01220	GO:0008641			PTHR10953 PTHR10953:SF9	PF00899
Cz13g01230	GO:0008641	K12164	KOG2336	PTHR10953 PTHR10953:SF9	PF00899
Cz13g01250	GO:0055085 GO:0016021	K08193	KOG2532	PTHR11662 PTHR11662:SF243	PF07690
Cz13g01280	GO:0046872 GO:0055114 GO:0050660 GO:0017150 GO:0008033	K05544		PTHR11082 PTHR11082:SF8	PF00642 PF01207
Cz13g02010	GO:0003824		KOG0622	PTHR11482 PTHR11482:SF6	PF00278 PF02784
Cz13g02020	GO:0005525	K02519		PTHR23115 PTHR23115:SF138	PF01926 PF04760 PF11987
Cz13g02040	GO:0006468 GO:0005524 GO:0004672				PF00069
Cz13g02050	GO:0016779				PF01909
Cz13g02060	GO:0005515 GO:0003676		KOG1041	PTHR22891 PTHR22891:SF0	PF02170 PF16488 PF08699 PF02171
Cz13g02070	GO:0003677				PF02178
Cz13g02090	GO:0006468 GO:0005524 GO:0004672 GO:0007049	K08850	KOG0580	PTHR24350	PF00069
Cz13g02110	GO:0016887 GO:0005524	K03235		PTHR19211 PTHR19211:SF5	PF00005
Cz13g02130	GO:0016787	K07002		PTHR15394 PTHR15394:SF3	PF06821
Cz13g02170	GO:0055085 GO:0022857 GO:0016021		KOG2532	PTHR11662 PTHR11662:SF223	PF00083
Cz13g02190	GO:0005515 GO:0000160			PTHR26402	PF06203 PF00072
Cz13g02210	GO:0005515				PF06203
Cz13g02230	GO:0005524		KOG0651	PTHR32429 PTHR32429:SF8	PF00004
Cz13g02240	GO:0005852 GO:0005737 GO:0003743	K15028	KOG3252	PTHR13022	PF10075
Cz13g03010	GO:0007264 GO:0005525	K07953	KOG0077	PTHR11711 PTHR11711:SF177	PF08477
Cz13g03050	GO:0006629			PTHR11005 PTHR11005:SF17	PF04083
Cz13g03150	GO:0003676 GO:0003723	K11090		PTHR22792 PTHR22792:SF64	PF00076 PF08777
Cz13g03160	GO:0016491 GO:0008152			PTHR24320 PTHR24320:SF93	PF00106
Cz13g03240	GO:0016020 GO:0009765	K08912 K08913		PTHR21649 PTHR21649:SF8	PF00504
Cz13g03270	GO:0055114 GO:0050661 GO:0050660 GO:0004499	K00485	KOG1399	PTHR23023 PTHR23023:SF130	PF00743
Cz13g03290	GO:0055114 GO:0016491 GO:0008270		KOG0025	PTHR11695 PTHR11695:SF5	PF00107
Cz13g04030	GO:0005525	K06207	KOG0462	PTHR23115 PTHR23115:SF165	PF01926 PF03144 PF00679
Cz13g04040	GO:0055114 GO:0016491	K00472		PTHR10869 PTHR10869:SF71	PF13640
Cz13g04050	GO:0005515 GO:0006468 GO:0005524 GO:0004672		KOG4412	PTHR24133 PTHR24133:SF20	PF00622 PF00069 PF13857 PF13637 PF12796
Cz13g04070	GO:0030983 GO:0006298 GO:0005524	K08736		PTHR11361 PTHR11361:SF34	PF05192 PF00488
Cz13g04080	GO:0030983 GO:0006298 GO:0005524	K08736		PTHR11361 PTHR11361:SF84	PF01624
Cz13g04090	GO:0007264 GO:0005525	K07977	KOG0070	PTHR11711 PTHR11711:SF168	PF08477
Cz13g04110	GO:0005515				PF00168
Cz13g04200	GO:0016021				PF03006
Cz13g04210	GO:0003677 GO:0000786	K11253	KOG1745	PTHR11426	PF00125
Cz13g05030	GO:0005515	K17618		PTHR32054 PTHR32054:SF0	PF00240 PF03031
Cz13g05050	GO:0016747 GO:0008610 GO:0016020 GO:0006633			PTHR31561	PF08541 PF08392
Cz13g05060	GO:0016747 GO:0016020 GO:0006633			PTHR31561	PF02797 PF08392
Cz13g05070	GO:0016747 GO:0008610 GO:0016020 GO:0006633			PTHR31561	PF08541 PF08392
Cz13g05100	GO:0008270			PTHR21540 PTHR21540:SF1	PF04434
Cz13g05130	GO:0090090 GO:0005856	K16478		PTHR31043 PTHR31043:SF3	
Cz13g05140	GO:0016853 GO:0005975		KOG1604	PTHR10091 PTHR10091:SF0	PF01263
Cz13g05170	GO:0016787				PF00293
Cz13g05200	GO:0055085 GO:0022857 GO:0016021	K08176	KOG0252	PTHR24064 PTHR24064:SF279	PF00083
Cz13g06010	GO:0015979 GO:0009538 GO:0009522	K02694		PTHR34939 PTHR34939:SF1	PF02507
Cz13g06040	GO:0009411 GO:0006289 GO:0004519	K13281		PTHR31290 PTHR31290:SF5	PF03851
Cz13g06060	GO:0016787	K17879	KOG3069	PTHR12992 PTHR12992:SF0	PF00293
Cz13g06110	GO:0003824 GO:0006470 GO:0004722			PTHR13832	PF00481
Cz13g06140	GO:0008540 GO:0006511	K03029	KOG2884	PTHR10223	PF02809 PF13519
Cz13g06210	GO:0016747 GO:0016020 GO:0006633			PTHR31561	PF08392
Cz13g06240	GO:0016491 GO:0008152		KOG1208	PTHR24322 PTHR24322:SF376	PF00106
Cz13g06250	GO:0016491 GO:0008152		KOG1208	PTHR24320	PF00106
Cz13g06270	GO:0016884			PTHR11895 PTHR11895:SF73	PF01425
Cz13g06280	GO:0005525	K13427		PTHR11089 PTHR11089:SF43	PF01926
Cz13g06290	GO:0008152 GO:0003824	K01687		PTHR21000 PTHR21000:SF5	PF00920
Cz13g07010	GO:0008234 GO:0006508				PF00112
Cz13g07030	GO:0008234 GO:0006508			PTHR12411 PTHR12411:SF336	PF00112
Cz13g07080	GO:0008234 GO:0006508			PTHR12411 PTHR12411:SF101	PF00112
Cz13g07100	GO:0006418 GO:0005524 GO:0004812 GO:0003676 GO:0000166 GO:0006421 GO:0005737 GO:0004816			PTHR22594 PTHR22594:SF6	PF00458 PF01336 PF00152
Cz13g07110	GO:0006418 GO:0005524 GO:0004812 GO:0000166 GO:0006421 GO:0005737 GO:0004816	K01893		PTHR22594 PTHR22594:SF6	PF00152
Cz13g07140	GO:0016020 GO:0015979 GO:0009654 GO:0009523	K08903		PTHR34963 PTHR34963:SF2	PF03912
Cz13g07150	GO:0016853 GO:0005975	K01792	KOG1594	PTHR11122 PTHR11122:SF12	PF01263
Cz13g07170	GO:0016773 GO:0005975 GO:0005524 GO:0046835 GO:0005536 GO:0004396 GO:0001678	K00844	KOG1369	PTHR19443 PTHR19443:SF16	PF00349 PF03727
Cz13g07180	GO:0032259 GO:0008168			PTHR13600 PTHR13600:SF12	PF04072
Cz13g07190	GO:0051536 GO:0016226 GO:0005506		KOG3361	PTHR10093	PF01592
Cz13g07290	GO:0003676				PF00076
Cz13g08010	GO:0009982 GO:0009451 GO:0003723 GO:0001522			PTHR21600 PTHR21600:SF19	PF00849
Cz13g08015	GO:0051536 GO:0009055	K02639		PTHR19370 PTHR19370:SF127	PF00111
Cz13g08020	GO:0055114 GO:0046429 GO:0016114	K03526		PTHR30454	PF04551
Cz13g08080	GO:0005524 GO:0003676			PTHR24031 PTHR24031:SF330	PF00270
Cz13g08090	GO:0005634 GO:0005524 GO:0004386 GO:0003723	K16911		PTHR24031 PTHR24031:SF330	PF00271 PF08152
Cz13g08100	GO:0051276 GO:0005694 GO:0005524 GO:0005515 GO:0007064 GO:0006281 GO:0003682	K06669		PTHR18937 PTHR18937:SF8	PF13476 PF06470
Cz13g08120	GO:0051536 GO:0009055	K02639		PTHR19370 PTHR19370:SF127	PF00111
Cz13g08130	GO:0030127 GO:0006888 GO:0006886			PTHR13803 PTHR13803:SF10	PF04815 PF04811
Cz13g08180	GO:0055114 GO:0010181 GO:0004733			PTHR30212 PTHR30212:SF3	PF01243
Cz13g09020	GO:0030131 GO:0016192 GO:0006886 GO:0030117	K11824		PTHR22780 PTHR22780:SF4	PF02883 PF02296 PF01602
Cz13g09050	GO:0043039 GO:0005524 GO:0006418 GO:0004812 GO:0000166	K01868		PTHR11451 PTHR11451:SF5	PF07973 PF02824 PF03129 PF00587
Cz13g09070	GO:0006414 GO:0003746			PTHR30053	PF01132
Cz13g09120	GO:0009094 GO:0004664	K05359	KOG2797	PTHR21022 PTHR21022:SF1	PF00800
Cz13g09180	GO:0006355 GO:0003700 GO:0007275			PTHR32467 PTHR32467:SF34	PF00847
Cz13g09190	GO:0006813 GO:0055085 GO:0016021 GO:0015299 GO:0006812		KOG1650	PTHR16254 PTHR16254:SF13	PF02254 PF00999
Cz13g09200	GO:0030170	K01739	KOG0053	PTHR11808 PTHR11808:SF14	PF01053
Cz13g10060	GO:0036459 GO:0016579	K11366	KOG1870	PTHR24006 PTHR24006:SF441	PF13423 PF00443
Cz13g10070	GO:0031011				PF04795
Cz13g10080	GO:0055114 GO:0016491 GO:0016209			PTHR10681 PTHR10681:SF103	PF00578
Cz13g10090	GO:0055114 GO:0051920			PTHR10681 PTHR10681:SF103	PF10417
Cz13g10100	GO:0055085			PTHR31645	PF03169
Cz13g10120	GO:0005525	K07936	KOG0096	PTHR24071	PF00025
Cz13g10130	GO:0009405 GO:0008200 GO:0005576				PF07740
Cz13g10190	GO:0016020				PF01284
Cz13g10210	GO:0006468 GO:0005524 GO:0004672	K08830	KOG0594 KOG0659	PTHR24055 PTHR24055:SF72	PF00069
Cz13g10260	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02899	KOG4600	PTHR15893	PF01016
Cz13g11020	GO:0016021 GO:0004659	K09833		PTHR11048 PTHR11048:SF26	PF01040
Cz13g11070	GO:0055114 GO:0009396 GO:0004488 GO:0003824		KOG0089	PTHR10025	PF00763 PF02882
Cz13g11080	GO:0016757				PF04577
Cz13g11090	GO:0005739		KOG4100	PTHR13137 PTHR13137:SF6	
Cz13g11100	GO:0008171		KOG3178	PTHR11746 PTHR11746:SF63	PF16864 PF00891
Cz13g11120	GO:0005515				PF13606
Cz13g11170	GO:0008270 GO:0005975 GO:0004476 GO:0009298			PTHR10309 PTHR10309:SF0	PF01238
Cz13g11190	GO:0008270	K11752		PTHR11079 PTHR11079:SF10	PF00383
Cz13g11200	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02956		PTHR23321 PTHR23321:SF26	PF00312
Cz13g11250	GO:0003993		KOG3720	PTHR11567 PTHR11567:SF110	PF00328
Cz13g11290	GO:0051536 GO:0003824			PTHR22976 PTHR22976:SF4	PF04055
Cz13g11320	GO:0016491 GO:0008152		KOG1208	PTHR24320 PTHR24320:SF72	PF00106
Cz13g11330	GO:0016491 GO:0008152		KOG1208	PTHR24320	PF00106
Cz13g12050	GO:0006508 GO:0004222			PTHR31412 PTHR31412:SF0	PF02163
Cz13g12070	GO:0016887 GO:0005524			PTHR24220 PTHR24220:SF511	PF00005
Cz13g12080	GO:0005524			PTHR24220 PTHR24220:SF511	PF13304
Cz13g12160	GO:0055114 GO:0051537 GO:0016491 GO:0042651 GO:0009496 GO:0016679	K02636	KOG1671	PTHR10134 PTHR10134:SF5	PF00355 PF08802
Cz13g12190	GO:0005543			PTHR22951 PTHR22951:SF5	PF07651
Cz13g12260	GO:0016020 GO:0015696 GO:0008519 GO:0072488		KOG0682	PTHR11730 PTHR11730:SF17	PF00909
Cz13g13030	GO:0006355 GO:0005739 GO:0003690			PTHR13068	PF02536
Cz13g13050	GO:0003993			PTHR12750	PF00328
Cz13g13060	GO:0003993			PTHR12750	PF00328
Cz13g13100	GO:0006629		KOG2987		PF00487
