Gene ID	GO	KO
GFH18983	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18983" target="_blank">GFH18983</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
GFH18985	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18985" target="_blank">GFH18985</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">metal ion transmembrane transporter activity (GO:0046873)</a>	
GFH18986	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18986" target="_blank">GFH18986</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">metal ion transmembrane transporter activity (GO:0046873)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21398" target="_blank">K21398</a>
GFH18987	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18987" target="_blank">GFH18987</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046912" target="_blank">transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer (GO:0046912)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01647" target="_blank">K01647</a>
GFH18988	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18988" target="_blank">GFH18988</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	
GFH18989	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18989" target="_blank">GFH18989</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	
GFH18991	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18991" target="_blank">GFH18991</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030244" target="_blank">cellulose biosynthetic process (GO:0030244)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016760" target="_blank">cellulose synthase (UDP-forming) activity (GO:0016760)</a>	
GFH18994	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18994" target="_blank">GFH18994</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035091" target="_blank">phosphatidylinositol binding (GO:0035091)</a>	
GFH18995	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH18995" target="_blank">GFH18995</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046907" target="_blank">intracellular transport (GO:0046907)</a>	
GFH19002	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19002" target="_blank">GFH19002</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02328" target="_blank">K02328</a>
GFH19003	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19003" target="_blank">GFH19003</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02926" target="_blank">K02926</a>
GFH19004	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19004" target="_blank">GFH19004</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004222" target="_blank">metalloendopeptidase activity (GO:0004222)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08955" target="_blank">K08955</a>
GFH19006	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19006" target="_blank">GFH19006</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000139" target="_blank">Golgi membrane (GO:0000139)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0090481" target="_blank">pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015165" target="_blank">pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)</a>	
GFH19008	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19008" target="_blank">GFH19008</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016874" target="_blank">ligase activity (GO:0016874)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02434" target="_blank">K02434</a>
GFH19010	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19010" target="_blank">GFH19010</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016884" target="_blank">carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)</a>	
GFH19013	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19013" target="_blank">GFH19013</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19015	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19015" target="_blank">GFH19015</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
GFH19022	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19022" target="_blank">GFH19022</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10846" target="_blank">K10846</a>
GFH19023	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19023" target="_blank">GFH19023</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a>	
GFH19024	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19024" target="_blank">GFH19024</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
GFH19025	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19025" target="_blank">GFH19025</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13103" target="_blank">K13103</a>
GFH19032	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19032" target="_blank">GFH19032</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19042	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19042" target="_blank">GFH19042</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006464" target="_blank">cellular protein modification process (GO:0006464)</a>	
GFH19045	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19045" target="_blank">GFH19045</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000049" target="_blank">tRNA binding (GO:0000049)</a>	
GFH19056	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19056" target="_blank">GFH19056</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12890" target="_blank">K12890</a>
GFH19058	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19058" target="_blank">GFH19058</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19060	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19060" target="_blank">GFH19060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19072	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19072" target="_blank">GFH19072</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19088	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19088" target="_blank">GFH19088</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	
GFH19096	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19096" target="_blank">GFH19096</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006310" target="_blank">DNA recombination (GO:0006310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009378" target="_blank">four-way junction helicase activity (GO:0009378)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03063" target="_blank">K03063</a>
GFH19119	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19119" target="_blank">GFH19119</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004185" target="_blank">serine-type carboxypeptidase activity (GO:0004185)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09645" target="_blank">K09645</a>
GFH19120	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19120" target="_blank">GFH19120</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004185" target="_blank">serine-type carboxypeptidase activity (GO:0004185)</a>	
GFH19121	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19121" target="_blank">GFH19121</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042578" target="_blank">phosphoric ester hydrolase activity (GO:0042578)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21797" target="_blank">K21797</a>
GFH19126	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19126" target="_blank">GFH19126</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0070823" target="_blank">HDA1 complex (GO:0070823)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016575" target="_blank">histone deacetylation (GO:0016575)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11654" target="_blank">K11654</a>
GFH19137	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19137" target="_blank">GFH19137</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	
GFH19139	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19139" target="_blank">GFH19139</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a>	
GFH19142	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19142" target="_blank">GFH19142</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016853" target="_blank">isomerase activity (GO:0016853)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01785" target="_blank">K01785</a>
GFH19145	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19145" target="_blank">GFH19145</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
GFH19150	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19150" target="_blank">GFH19150</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03695" target="_blank">K03695</a>
GFH19152	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19152" target="_blank">GFH19152</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01214" target="_blank">K01214</a>
GFH19154	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19154" target="_blank">GFH19154</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13783" target="_blank">K13783</a>
GFH19157	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19157" target="_blank">GFH19157</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004540" target="_blank">ribonuclease activity (GO:0004540)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
GFH19167	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19167" target="_blank">GFH19167</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH19171	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19171" target="_blank">GFH19171</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a>	
GFH19176	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19176" target="_blank">GFH19176</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00413" target="_blank">K00413</a>
GFH19179	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19179" target="_blank">GFH19179</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045048" target="_blank">protein insertion into ER membrane (GO:0045048)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23387" target="_blank">K23387</a>
GFH19180	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19180" target="_blank">GFH19180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005741" target="_blank">mitochondrial outer membrane (GO:0005741)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15040" target="_blank">K15040</a>
GFH19189	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19189" target="_blank">GFH19189</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0032040" target="_blank">small-subunit processome (GO:0032040)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19192	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19192" target="_blank">GFH19192</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10739" target="_blank">K10739</a>
GFH19194	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19194" target="_blank">GFH19194</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006388" target="_blank">tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000213" target="_blank">tRNA-intron endonuclease activity (GO:0000213)</a>	
GFH19209	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19209" target="_blank">GFH19209</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
GFH19210	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19210" target="_blank">GFH19210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
GFH19214	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19214" target="_blank">GFH19214</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a>	
GFH19223	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19223" target="_blank">GFH19223</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH19246	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19246" target="_blank">GFH19246</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH19247	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19247" target="_blank">GFH19247</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	
GFH19249	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19249" target="_blank">GFH19249</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0071949" target="_blank">FAD binding (GO:0071949)</a>	
GFH19270	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19270" target="_blank">GFH19270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH19280	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19280" target="_blank">GFH19280</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH19296	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19296" target="_blank">GFH19296</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19306	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19306" target="_blank">GFH19306</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21444" target="_blank">K21444</a>
GFH19310	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19310" target="_blank">GFH19310</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19312	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19312" target="_blank">GFH19312</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003682" target="_blank">chromatin binding (GO:0003682)</a>	
GFH19313	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19313" target="_blank">GFH19313</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008184" target="_blank">glycogen phosphorylase activity (GO:0008184)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00688" target="_blank">K00688</a>
GFH19314	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19314" target="_blank">GFH19314</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH19315	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19315" target="_blank">GFH19315</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH19316	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19316" target="_blank">GFH19316</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH19317	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19317" target="_blank">GFH19317</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH19320	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19320" target="_blank">GFH19320</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006310" target="_blank">DNA recombination (GO:0006310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009378" target="_blank">four-way junction helicase activity (GO:0009378)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">DNA helicase activity (GO:0003678)</a>	
GFH19324	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19324" target="_blank">GFH19324</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003968" target="_blank">RNA-directed 5'-3' RNA polymerase activity (GO:0003968)</a>	
GFH19334	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19334" target="_blank">GFH19334</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051536" target="_blank">iron-sulfur cluster binding (GO:0051536)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016651" target="_blank">oxidoreductase activity, acting on NAD(P)H (GO:0016651)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03934" target="_blank">K03934</a>
