Gene ID	GO
Bathy25g00230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00230" target="_blank">Bathy25g00230</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">GO:0000166</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043039" target="_blank">GO:0043039</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">GO:0005737</a>
Bathy25g00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00240" target="_blank">Bathy25g00240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">GO:0005488</a>
Bathy25g00260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00260" target="_blank">Bathy25g00260</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009236" target="_blank">GO:0009236</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008817" target="_blank">GO:0008817</a>
Bathy25g00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00270" target="_blank">Bathy25g00270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">GO:0004252</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy25g00330	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00330" target="_blank">Bathy25g00330</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">GO:0045454</a>
Bathy25g00340	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00340" target="_blank">Bathy25g00340</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy25g00350	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00350" target="_blank">Bathy25g00350</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">GO:0000156</a>
Bathy25g00370	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00370" target="_blank">Bathy25g00370</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">GO:0016887</a>
Bathy25g00390	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy25g00390" target="_blank">Bathy25g00390</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>
Bathy26g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00050" target="_blank">Bathy26g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">GO:0006508</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">GO:0008236</a>
Bathy26g00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00060" target="_blank">Bathy26g00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">GO:0006508</a>
Bathy26g00110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00110" target="_blank">Bathy26g00110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">GO:0006810</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030288" target="_blank">GO:0030288</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">GO:0005215</a>
Bathy26g00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00130" target="_blank">Bathy26g00130</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008448" target="_blank">GO:0008448</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006044" target="_blank">GO:0006044</a>
Bathy26g00160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00160" target="_blank">Bathy26g00160</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">GO:0006810</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030288" target="_blank">GO:0030288</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">GO:0005215</a>
Bathy26g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00170" target="_blank">Bathy26g00170</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">GO:0016788</a>
Bathy26g00200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00200" target="_blank">Bathy26g00200</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016884" target="_blank">GO:0016884</a>
Bathy26g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00210" target="_blank">Bathy26g00210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016884" target="_blank">GO:0016884</a>
Bathy26g00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00240" target="_blank">Bathy26g00240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">GO:0055085</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006812" target="_blank">GO:0006812</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008324" target="_blank">GO:0008324</a>
Bathy26g00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00270" target="_blank">Bathy26g00270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy26g00310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00310" target="_blank">Bathy26g00310</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">GO:0008168</a>
Bathy26g00330	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy26g00330" target="_blank">Bathy26g00330</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy27g00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00010" target="_blank">Bathy27g00010</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">GO:0004553</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042597" target="_blank">GO:0042597</a>
Bathy27g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00040" target="_blank">Bathy27g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009279" target="_blank">GO:0009279</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy27g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00050" target="_blank">Bathy27g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">GO:0006810</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015288" target="_blank">GO:0015288</a>
Bathy27g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00070" target="_blank">Bathy27g00070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">GO:0005488</a>
Bathy27g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00090" target="_blank">Bathy27g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">GO:0000287</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009102" target="_blank">GO:0009102</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004141" target="_blank">GO:0004141</a>
Bathy27g00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00100" target="_blank">Bathy27g00100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">GO:0030170</a>
Bathy27g00110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00110" target="_blank">Bathy27g00110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">GO:0003700</a>
Bathy27g00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00130" target="_blank">Bathy27g00130</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">GO:0006810</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">GO:0005215</a>
Bathy27g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00140" target="_blank">Bathy27g00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">GO:0016887</a>
Bathy27g00150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00150" target="_blank">Bathy27g00150</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">GO:0030170</a>
Bathy27g00160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00160" target="_blank">Bathy27g00160</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008410" target="_blank">GO:0008410</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>
Bathy27g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00170" target="_blank">Bathy27g00170</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008410" target="_blank">GO:0008410</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>
Bathy27g00180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00180" target="_blank">Bathy27g00180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006522" target="_blank">GO:0006522</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008784" target="_blank">GO:0008784</a>
Bathy27g00190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00190" target="_blank">Bathy27g00190</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004650" target="_blank">GO:0004650</a>
Bathy27g00200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00200" target="_blank">Bathy27g00200</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">GO:0006810</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">GO:0005215</a>
Bathy27g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00210" target="_blank">Bathy27g00210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">GO:0016887</a>
Bathy27g00220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy27g00220" target="_blank">Bathy27g00220</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">GO:0005975</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy29g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00020" target="_blank">Bathy29g00020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">GO:0046872</a>
Bathy29g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00040" target="_blank">Bathy29g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy29g00080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00080" target="_blank">Bathy29g00080</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009399" target="_blank">GO:0009399</a>
Bathy29g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00090" target="_blank">Bathy29g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016226" target="_blank">GO:0016226</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">GO:0005198</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051536" target="_blank">GO:0051536</a>
Bathy29g00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00100" target="_blank">Bathy29g00100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">GO:0030170</a>
Bathy29g00110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00110" target="_blank">Bathy29g00110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016740" target="_blank">GO:0016740</a>
Bathy29g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00140" target="_blank">Bathy29g00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">GO:0000156</a>
Bathy29g00150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00150" target="_blank">Bathy29g00150</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">GO:0016310</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">GO:0016772</a>
Bathy29g00160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00160" target="_blank">Bathy29g00160</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>
Bathy29g00180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00180" target="_blank">Bathy29g00180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019843" target="_blank">GO:0019843</a>
Bathy29g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00210" target="_blank">Bathy29g00210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">GO:0008168</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0032259" target="_blank">GO:0032259</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>
Bathy29g00220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00220" target="_blank">Bathy29g00220</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">GO:0009058</a>
Bathy29g00230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00230" target="_blank">Bathy29g00230</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy29g00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00240" target="_blank">Bathy29g00240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
Bathy29g00250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy29g00250" target="_blank">Bathy29g00250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">GO:0000156</a>
Bathy30g00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00010" target="_blank">Bathy30g00010</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">GO:0043565</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006275" target="_blank">GO:0006275</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006270" target="_blank">GO:0006270</a>
Bathy30g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00040" target="_blank">Bathy30g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
Bathy30g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00050" target="_blank">Bathy30g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>
Bathy30g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00090" target="_blank">Bathy30g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009273" target="_blank">GO:0009273</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008658" target="_blank">GO:0008658</a>
Bathy30g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00140" target="_blank">Bathy30g00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">GO:0000156</a>
Bathy30g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00170" target="_blank">Bathy30g00170</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015232" target="_blank">GO:0015232</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017004" target="_blank">GO:0017004</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015886" target="_blank">GO:0015886</a>
Bathy30g00190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00190" target="_blank">Bathy30g00190</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy30g00200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00200" target="_blank">Bathy30g00200</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy30g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00210" target="_blank">Bathy30g00210</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">GO:0000160</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">GO:0000156</a>
Bathy30g00220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00220" target="_blank">Bathy30g00220</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">GO:0016310</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">GO:0016772</a>
Bathy30g00230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy30g00230" target="_blank">Bathy30g00230</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">GO:0016310</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">GO:0016772</a>
Bathy31g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy31g00040" target="_blank">Bathy31g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004357" target="_blank">GO:0004357</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006750" target="_blank">GO:0006750</a>
Bathy31g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy31g00050" target="_blank">Bathy31g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">GO:0008168</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">GO:0006364</a>
Bathy31g00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy31g00060" target="_blank">Bathy31g00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004659" target="_blank">GO:0004659</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a>
Bathy31g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy31g00070" target="_blank">Bathy31g00070</a>	
Bathy46g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy46g00020" target="_blank">Bathy46g00020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">GO:0008168</a>
Bathy46g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy46g00040" target="_blank">Bathy46g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004748" target="_blank">GO:0004748</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">GO:0006260</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005971" target="_blank">GO:0005971</a>
Bathy46g00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy46g00060" target="_blank">Bathy46g00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">GO:0045454</a>
Bathy46g00080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy46g00080" target="_blank">Bathy46g00080</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">GO:0005515</a>
Bathy46g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy46g00090" target="_blank">Bathy46g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">GO:0045454</a>
Bathy47g00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00010" target="_blank">Bathy47g00010</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003887" target="_blank">GO:0003887</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">GO:0006281</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003684" target="_blank">GO:0003684</a>
Bathy47g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00020" target="_blank">Bathy47g00020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004177" target="_blank">GO:0004177</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">GO:0019538</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">GO:0005737</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030145" target="_blank">GO:0030145</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008235" target="_blank">GO:0008235</a>
Bathy47g00030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00030" target="_blank">Bathy47g00030</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">GO:0016787</a>
Bathy47g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00040" target="_blank">Bathy47g00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016810" target="_blank">GO:0016810</a>
Bathy47g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00050" target="_blank">Bathy47g00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">GO:0005488</a>
Bathy47g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00070" target="_blank">Bathy47g00070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016671" target="_blank">GO:0016671</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">GO:0019538</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
Bathy47g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00090" target="_blank">Bathy47g00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005887" target="_blank">GO:0005887</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005328" target="_blank">GO:0005328</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006836" target="_blank">GO:0006836</a>
Bathy47g00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy47g00100" target="_blank">Bathy47g00100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045226" target="_blank">GO:0045226</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008831" target="_blank">GO:0008831</a>
