feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	17741	17992	-						17361620	NGA_0368000	252		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	17741	17992	-	XM_005854786.1		XP_005854848.1	hypothetical protein		17361620	NGA_0368000	252	252	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	17741	17992	-	XP_005854848.1		XM_005854786.1	hypothetical protein		17361620	NGA_0368000	252	83	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	24921	26182	+					PIN1	17361621	NGA_0367600	1262		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	24921	26182	+	XM_005854782.1		XP_005854844.1	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	17361621	NGA_0367600	513	513	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803568.1	24936	26182	+	XP_005854844.1		XM_005854782.1	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	17361621	NGA_0367600	498	165	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	6972	8047	+						17361616	NGA_2097610	1076		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	6972	8047	+	XM_005854780.1		XP_005854842.1	hypothetical protein		17361616	NGA_2097610	1076	1076	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	6972	7951	+	XP_005854842.1		XM_005854780.1	hypothetical protein		17361616	NGA_2097610	980	325	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	8036	10362	-						17361611	NGA_2014000	2327		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	8036	10362	-	XM_005854775.1		XP_005854837.1	hypothetical protein		17361611	NGA_2014000	2327	2327	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	8216	10264	-	XP_005854837.1		XM_005854775.1	hypothetical protein		17361611	NGA_2014000	2049	682	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	12952	13902	+						17361613	NGA_2022900	951		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	12952	13902	+	XM_005854776.1		XP_005854838.1	trna (uracil-5-)-methyltransferase		17361613	NGA_2022900	951	951	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	13355	13902	+	XP_005854838.1		XM_005854776.1	trna (uracil-5-)-methyltransferase		17361613	NGA_2022900	548	183	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14508	14883	-						17361615	NGA_2088800	376		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14508	14883	-	XM_005854779.1		XP_005854841.1	trna (uracil-5-)-methyltransferase		17361615	NGA_2088800	376	376	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14508	14883	-	XP_005854841.1		XM_005854779.1	trna (uracil-5-)-methyltransferase		17361615	NGA_2088800	376	125	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14868	15194	+						17361610	NGA_2074900	327		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14868	15194	+	XM_005854777.1		XP_005854839.1	trna (uracil-5-)-methyltransferase		17361610	NGA_2074900	327	327	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	14868	15194	+	XP_005854839.1		XM_005854777.1	trna (uracil-5-)-methyltransferase		17361610	NGA_2074900	327	108	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	24120	24746	+					POLE3	17361612	NGA_2104400	627		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	24120	24746	+	XM_005854781.1		XP_005854843.1	DNA polymerase epsilon subunit 3	POLE3	17361612	NGA_2104400	627	627	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	24120	24746	+	XP_005854843.1		XM_005854781.1	DNA polymerase epsilon subunit 3	POLE3	17361612	NGA_2104400	627	209	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	25397	26472	+						17361614	NGA_2078300	1076		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	25397	26472	+	XM_005854778.1		XP_005854840.1	short-chain dehydrogenase reductase sdr		17361614	NGA_2078300	1076	1076	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803567.1	25397	26282	+	XP_005854840.1		XM_005854778.1	short-chain dehydrogenase reductase sdr		17361614	NGA_2078300	886	294	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803566.1	23631	24275	-						17361609	NGA_2023800	645		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803566.1	23631	24275	-	XM_005854774.1		XP_005854836.1	phosphoglycerate bisphosphoglycerate mutase family protein		17361609	NGA_2023800	645	645	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803566.1	23631	24275	-	XP_005854836.1		XM_005854774.1	phosphoglycerate bisphosphoglycerate mutase family protein		17361609	NGA_2023800	645	215	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	4149	4556	+						17361606	NGA_0418310	408		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	4149	4556	+	XM_005854771.1		XP_005854833.1	hypothetical protein		17361606	NGA_0418310	256	256	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	4149	4528	+	XP_005854833.1		XM_005854771.1	hypothetical protein		17361606	NGA_0418310	228	75	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	6161	7433	+						17361608	NGA_0418200	1273		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	6161	7433	+	XM_005854770.1		XP_005854832.1	hypothetical protein		17361608	NGA_0418200	1160	1160	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	6169	6959	+	XP_005854832.1		XM_005854770.1	hypothetical protein		17361608	NGA_0418200	678	225	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	10603	12220	-						17361605	NGA_0418500	1618		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	10603	12220	-	XM_005854773.1		XP_005854835.1	hypothetical protein		17361605	NGA_0418500	420	420	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	10603	12220	-	XP_005854835.1		XM_005854773.1	hypothetical protein		17361605	NGA_0418500	420	139	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	19530	22301	-					HMOX	17361607	NGA_0418400	2772		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	19530	22301	-	XM_005854772.1		XP_005854834.1	heme oxygenase	HMOX	17361607	NGA_0418400	1030	1030	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803565.1	19530	22255	-	XP_005854834.1		XM_005854772.1	heme oxygenase	HMOX	17361607	NGA_0418400	984	328	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803564.1	8620	9181	+						17361604	NGA_2034400	562		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803564.1	8620	9181	+	XM_005854769.1		XP_005854831.1	hypothetical protein		17361604	NGA_2034400	562	562	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803564.1	8620	9181	+	XP_005854831.1		XM_005854769.1	hypothetical protein		17361604	NGA_2034400	562	187	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	6421	8167	+						17361602	NGA_0377100	1747		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	6421	8167	+	XM_005854768.1		XP_005854830.1	abc transporter family protein		17361602	NGA_0377100	504	504	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	6493	8167	+	XP_005854830.1		XM_005854768.1	abc transporter family protein		17361602	NGA_0377100	432	143	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	17817	18667	-						17361601	NGA_0377000	851		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	17817	18667	-	XM_005854767.1		XP_005854829.1	hypothetical protein		17361601	NGA_0377000	851	851	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	17817	18644	-	XP_005854829.1		XM_005854767.1	hypothetical protein		17361601	NGA_0377000	828	275	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	22246	23363	+						17361603	NGA_0376900	1118		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	22246	23363	+	XM_005854766.1		XP_005854828.1	hypothetical protein		17361603	NGA_0376900	869	869	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803563.1	22386	23363	+	XP_005854828.1		XM_005854766.1	hypothetical protein		17361603	NGA_0376900	729	242	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1	940	-						17361595	NGA_0401020	940		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1	940	-	XM_005854761.2		XP_005854823.1	hypothetical protein		17361595	NGA_0401020	940	940	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1	940	-	XP_005854823.1		XM_005854761.2	hypothetical protein		17361595	NGA_0401020	940	313	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1053	4712	+						17361596	NGA_0400502	3660		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1053	4712	+	XM_005854759.1		XP_005854821.1	protease required for anti-sigma degradation		17361596	NGA_0400502	2107	2107	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	1314	4048	+	XP_005854821.1		XM_005854759.1	protease required for anti-sigma degradation		17361596	NGA_0400502	1182	393	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	5358	7066	-						17361598	NGA_0401102	1709		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	5358	7066	-	XM_005854762.1		XP_005854824.1	atp synthetase alpha chain -like protein		17361598	NGA_0401102	1509	1509	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	5358	7066	-	XP_005854824.1		XM_005854762.1	atp synthetase alpha chain -like protein		17361598	NGA_0401102	1509	502	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	9172	10655	+						17361600	NGA_0414010	1484		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	9172	10655	+	XM_005854764.1		XP_005854826.1	putative membrane protein		17361600	NGA_0414010	1277	1277	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	9237	10655	+	XP_005854826.1		XM_005854764.1	putative membrane protein		17361600	NGA_0414010	1212	403	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	10992	11790	-						17361599	NGA_0400802	799		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	10992	11790	-	XM_005854760.1		XP_005854822.1	emp24 gp25l p24 family protein		17361599	NGA_0400802	679	679	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	11008	11742	-	XP_005854822.1		XM_005854760.1	emp24 gp25l p24 family protein		17361599	NGA_0400802	615	204	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	19944	20732	-						17361594	NGA_0414300	789		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	19944	20732	-	XM_005854765.1		XP_005854827.1	tfiib zinc-binding family		17361594	NGA_0414300	789	789	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	19944	20732	-	XP_005854827.1		XM_005854765.1	tfiib zinc-binding family		17361594	NGA_0414300	789	262	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	26563	27800	+					PSMB4	17361597	NGA_0413800	1238		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	26563	27800	+	XM_005854763.1		XP_005854825.1	20S proteasome subunit beta 7	PSMB4	17361597	NGA_0413800	832	832	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803562.1	26654	27800	+	XP_005854825.1		XM_005854763.1	20S proteasome subunit beta 7	PSMB4	17361597	NGA_0413800	741	247	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803561.1	4895	5549	+						17361593	NGA_2048200	655		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803561.1	4895	5549	+	XM_005854758.1		XP_005854820.1	hypothetical protein		17361593	NGA_2048200	655	655	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803561.1	5043	5390	+	XP_005854820.1		XM_005854758.1	hypothetical protein		17361593	NGA_2048200	348	115	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22202	22640	+						17361591	NGA_2028220	439		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22202	22640	+	XM_005854757.1		XP_005854819.1	cgi-01 protein isoform 1		17361591	NGA_2028220	439	439	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22202	22640	+	XP_005854819.1		XM_005854757.1	cgi-01 protein isoform 1		17361591	NGA_2028220	439	146	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22620	23537	+						17361592	NGA_2020720	918		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22620	23537	+	XM_005854756.1		XP_005854818.1	methyltransferase-like protein 13		17361592	NGA_2020720	918	918	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803560.1	22620	23537	+	XP_005854818.1		XM_005854756.1	methyltransferase-like protein 13		17361592	NGA_2020720	918	305	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803559.1	5129	5414	+						17361590	NGA_2100320	286		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803559.1	5129	5414	+	XM_005854755.1		XP_005854817.1	hypothetical protein		17361590	NGA_2100320	286	286	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803559.1	5129	5414	+	XP_005854817.1		XM_005854755.1	hypothetical protein		17361590	NGA_2100320	286	95	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803558.1	25477	25970	-						17361589	NGA_2042120	494		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803558.1	25477	25970	-	XM_005854754.1		XP_005854816.1	hypothetical protein		17361589	NGA_2042120	494	494	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803558.1	25477	25970	-	XP_005854816.1		XM_005854754.1	hypothetical protein		17361589	NGA_2042120	494	164	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803557.1	17301	17596	+						17361588	NGA_2089900	296		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803557.1	17301	17596	+	XM_005854753.1		XP_005854815.1	elmo domain-containing protein 2		17361588	NGA_2089900	296	296	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803557.1	17301	17596	+	XP_005854815.1		XM_005854753.1	elmo domain-containing protein 2		17361588	NGA_2089900	296	98	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	1645	2606	+						17361583	NGA_0414700	962		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	1645	2606	+	XM_005854750.1		XP_005854812.1	atp-dependent rna		17361583	NGA_0414700	439	439	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	1712	2606	+	XP_005854812.1		XM_005854750.1	atp-dependent rna		17361583	NGA_0414700	372	123	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	5986	6938	+						17361587	NGA_0414600	953		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	5986	6938	+	XM_005854749.1		XP_005854811.1	atp-dependent rna		17361587	NGA_0414600	465	465	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	5986	6938	+	XP_005854811.1		XM_005854749.1	atp-dependent rna		17361587	NGA_0414600	465	154	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	9002	22750	-						17361584	NGA_0414900	13749		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	9002	22750	-	XM_005854752.1		XP_005854814.1	block of proliferation 1		17361584	NGA_0414900	4720	4720	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	9027	22750	-	XP_005854814.1		XM_005854752.1	block of proliferation 1		17361584	NGA_0414900	4695	1564	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	19782	21208	+						17361585	NGA_0414800	1427		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	19782	21208	+	XM_005854751.1		XP_005854813.1	hypothetical protein		17361585	NGA_0414800	757	757	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	19822	21208	+	XP_005854813.1		XM_005854751.1	hypothetical protein		17361585	NGA_0414800	717	238	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	23407	26444	+						17361586	NGA_0414500	3038		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	23407	26444	+	XM_005854748.1		XP_005854810.1	tpr repeat protein		17361586	NGA_0414500	1142	1142	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803556.1	23424	26444	+	XP_005854810.1		XM_005854748.1	tpr repeat protein		17361586	NGA_0414500	1125	374	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803555.1	21191	21731	+						17361582	NGA_2055510	541		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803555.1	21191	21731	+	XM_005854747.1		XP_005854809.1	retrotransposon ty1-copia subclass		17361582	NGA_2055510	541	541	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803555.1	21363	21731	+	XP_005854809.1		XM_005854747.1	retrotransposon ty1-copia subclass		17361582	NGA_2055510	369	123	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803554.1	2354	3460	+					LEUB	17361581	NGA_0389100	1107		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803554.1	2354	3460	+	XM_005854746.1		XP_005854808.1	3-isopropylmalate dehydrogenase	LEUB	17361581	NGA_0389100	1107	1107	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803554.1	2354	3460	+	XP_005854808.1		XM_005854746.1	3-isopropylmalate dehydrogenase	LEUB	17361581	NGA_0389100	1107	368	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803553.1	16856	17991	-						17361580	NGA_2076020	1136		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803553.1	16856	17991	-	XM_005854745.1		XP_005854807.1	hypothetical protein		17361580	NGA_2076020	1136	1136	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803553.1	16863	17723	-	XP_005854807.1		XM_005854745.1	hypothetical protein		17361580	NGA_2076020	861	286	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	1357	22754	+					TRRAP	17361578	NGA_0368400	21398		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	1357	22754	+	XM_005854743.1		XP_005854805.1	transformation/transcription domain-associated protein	TRRAP	17361578	NGA_0368400	14684	14684	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	1585	22308	+	XP_005854805.1		XM_005854743.1	transformation/transcription domain-associated protein	TRRAP	17361578	NGA_0368400	14157	4718	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	22580	26097	-					CNOT7_8	17361579	NGA_0368500	3518		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	22580	26097	-	XM_005854744.1		XP_005854806.1	CCR4-NOT transcription complex subunit 7/8	CNOT7_8	17361579	NGA_0368500	1732	1732	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803552.1	22755	26097	-	XP_005854806.1		XM_005854744.1	CCR4-NOT transcription complex subunit 7/8	CNOT7_8	17361579	NGA_0368500	1557	518	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	2340	4553	+						17361573	NGA_0355400	2214		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	2340	4553	+	XM_005854741.1		XP_005854803.1	dead deah box rna		17361573	NGA_0355400	2214	2214	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	2340	4553	+	XP_005854803.1		XM_005854741.1	dead deah box rna		17361573	NGA_0355400	2214	737	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	5934	6962	+						17361577	NGA_0355500	1029		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	5934	6962	+	XM_005854742.1		XP_005854804.1	alkyl sulfatase or beta-lactamase		17361577	NGA_0355500	627	627	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	5934	6962	+	XP_005854804.1		XM_005854742.1	alkyl sulfatase or beta-lactamase		17361577	NGA_0355500	627	208	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	9604	10251	+						17361574	NGA_0355300	648		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	9604	10251	+	XM_005854740.1		XP_005854802.1	ankyrin repeat protein		17361574	NGA_0355300	382	382	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	9629	10251	+	XP_005854802.1		XM_005854740.1	ankyrin repeat protein		17361574	NGA_0355300	357	118	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	16645	20104	+					RRM1	17361575	NGA_0355100	3460		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	16645	20104	+	XM_005854738.1		XP_005854800.1	ribonucleoside-diphosphate reductase subunit M1	RRM1	17361575	NGA_0355100	3280	3280	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	16765	19869	+	XP_005854800.1		XM_005854738.1	ribonucleoside-diphosphate reductase subunit M1	RRM1	17361575	NGA_0355100	2925	974	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	22313	25833	+						17361576	NGA_0355200	3521		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	22313	25833	+	XM_005854739.1		XP_005854801.1	hypothetical protein		17361576	NGA_0355200	3237	3237	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803551.1	22313	25743	+	XP_005854801.1		XM_005854739.1	hypothetical protein		17361576	NGA_0355200	3147	1048	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	1	633	-						17361572	NGA_0360610	633		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	1	633	-	XM_005854737.1		XP_005854799.1	agc ndr protein kinase		17361572	NGA_0360610	480	480	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	1	633	-	XP_005854799.1		XM_005854737.1	agc ndr protein kinase		17361572	NGA_0360610	480	160	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	5080	5572	-						17361567	NGA_0205102	493		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	5080	5572	-	XM_005854731.1		XP_005854793.1	hypothetical protein		17361567	NGA_0205102	358	358	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	5080	5457	-	XP_005854793.1		XM_005854731.1	hypothetical protein		17361567	NGA_0205102	243	81	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	5998	7922	+						17361569	NGA_0205320	1925		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	5998	7922	+	XM_005854733.1		XP_005854795.1	hypothetical protein		17361569	NGA_0205320	1495	1495	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	7428	7922	+	XP_005854795.1		XM_005854733.1	hypothetical protein		17361569	NGA_0205320	495	165	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	8931	10671	+						17361568	NGA_0360310	1741		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	8931	10671	+	XM_005854735.1		XP_005854797.1	lipase family protein		17361568	NGA_0360310	1238	1238	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	9003	10576	+	XP_005854797.1		XM_005854735.1	lipase family protein		17361568	NGA_0360310	1071	356	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	13007	13972	+						17361570	NGA_0205502	966		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	13007	13972	+	XM_005854734.1		XP_005854796.1	cathepsin l-like proteinase		17361570	NGA_0205502	660	660	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803550.1	13007	13972	+	XP_005854796.1		XM_005854734.1	cathepsin l-like proteinase		17361570	NGA_0205502	660	219	
